id,osm_id,name,address,lat,lng,image_url,cached_at
9359ca02-af8c-46b1-9cbe-4df77a724da5,node/6712345506,DavidsTea,Toronto,43.65519,-79.3809678,,2026-03-15T16:00:29.796138+00:00
8acec0f6-a70c-4dce-8bb3-a3a0cb946a10,node/6820739739,Kitten & The Bear,"1414 Dundas Street West, Toronto",43.6497077,-79.4292366,,2026-03-15T16:00:29.796138+00:00
79bc4deb-a98c-4c4e-9cfa-799c074af090,node/10122823669,Presotea,"327 Yonge Street, Toronto",43.656932,-79.3810281,,2026-03-15T16:00:29.796138+00:00
0ba5882e-9d5e-4fe2-9c6d-7a53e81b8875,node/12190675572,Matcha Yuzu,"390 Silver Star Boulevard, Toronto, M1V 0E3",43.8149624,-79.296326,,2026-03-15T16:00:29.796138+00:00
64cb9072-7c7c-4ca9-a4f5-8458c29623f3,node/12785242442,Cha Payom,"21 Wellesley Street West, Toronto, M4Y0H1",43.6645122,-79.3855534,,2026-03-15T16:00:29.796138+00:00
a7d90f31-2827-49d9-8b10-0d0178ad07f3,node/13609461843,Matcha Matcha,Toronto,43.6544964,-79.3910822,https://scontent-yyz1-1.xx.fbcdn.net/m1/v/t6/An9qG0E_LhVQMKnUU2mSq9s89LGO0W-P_biNruScVyTM6_BC5FxSSqadwkG4dY-C4ub4fVJv75wRqbvu1vD4uSQcfGjCFVcrws9GdvbjAuf5BZm3YKjBRSZXRJ1Kok3-oArKavjkszjlJBUq7ODLHUk?stp=s2048x1536&edm=AOnQwmMEAAAA&_nc_gid=dHxhQt6n7jVAF_KscErWDQ&_nc_oc=AdleMudpK3GKfmJNLJNpqootsjUzoX5OEBrP5RXlDslAKlMlsjOHPDhcMblUfj1dCIw&ccb=10-5&oh=00_Afw4-iQhoIldDgOND31H7SQt5CwEV_WwKD7nVjZ_09t2dw&oe=69DE4065&_nc_sid=201bca,2026-03-15T16:00:29.796138+00:00
1081cc0d-e791-4b84-9ab6-8034d4bcf6da,node/13646514701,Ton Ton Matcha,"Western Battery Road, Toronto",43.6392143,-79.4158372,,2026-03-15T16:00:29.796138+00:00
a6c21705-dbfb-418d-b720-d50f08993919,way/663070344,Burr House Artisans Gallery Shop and Tearoom,Toronto,,,,2026-03-15T16:00:29.796138+00:00
b56209e3-1d25-46e1-8177-210b01df1a51,way/1229832499,Ten Ren's Tea Time,"1800 Sheppard Avenue East, North York, M2J 5A7",,,,2026-03-15T16:00:29.796138+00:00
0e816b7c-2df1-4afd-a14b-47a7c04739c8,way/1229832500,Machi machi,"1800 Sheppard Avenue East, North York, M2J 5A7",,,,2026-03-15T16:00:29.796138+00:00
